"Carimbo de data/hora","Você utiliza o estacionamento da UFABC?","Em qual campus você estaciona?","Selecione os períodos e dias da semana nos quais você utiliza o estacionamento [Manhã]","Selecione os períodos e dias da semana nos quais você utiliza o estacionamento [Tarde]","Selecione os períodos e dias da semana nos quais você utiliza o estacionamento [Noite]","Em qual horário de chegada você encontra maior dificuldade em estacionar?","Em média, quanto tempo você aguarda na fila do estacionamento?","Você acha que o seu tempo de espera poderia ser reduzido com alguma melhoria no controle de vagas?","Você se sente seguro estacionando fora da faculdade?","Quais informações sobre o estacionamento da UFABC você gostaria ter em mãos, em um aplicativo?","Adicione sugestões e comentários",""
"2019/07/10 9:12:30 PM GMT-3","Sim","UFABC - Santo André","Terça;Quarta;Quinta;Sexta","","Segunda;Terça;Quarta;Quinta;Sexta","17:00","Entre 15 e 30 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Horários de pico de uso do estacionamento;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/10 9:17:04 PM GMT-3","Sim","UFABC - Santo André","Segunda;Terça;Sexta","","","","Mais de 1 hora","Não","","Quantidade de vagas disponíveis em tempo real","",""
"2019/07/10 9:18:52 PM GMT-3","Sim","UFABC - Santo André","Segunda;Terça;Quarta;Quinta","","Segunda;Terça;Quarta;Quinta;Sexta","18:00","Entre 5 e 15 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/10 9:26:23 PM GMT-3","Sim","UFABC - Santo André","Segunda;Terça;Quarta;Quinta;Sexta","Segunda;Terça;Quarta;Quinta;Sexta","Terça;Quinta","17:30","Entre 30 min e 1 hora","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/10 9:26:29 PM GMT-3","Sim","UFABC - Santo André","Segunda;Terça;Quarta;Quinta;Sexta","Segunda;Terça;Quarta;Quinta;Sexta","Terça;Quinta","17:30","Entre 30 min e 1 hora","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/10 9:37:03 PM GMT-3","Sim","UFABC - São Bernardo do Campo","","","Segunda;Terça;Quarta;Quinta;Sexta","21:00","Entre 0 e 5 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","Pintar as faixas de vagas no estacionamento de sbc, pois muita gente estaciona de qualquer jeito e mata um monte de vaga",""
"2019/07/10 9:38:19 PM GMT-3","Sim","UFABC - São Bernardo do Campo","","Segunda;Quarta","Segunda;Terça;Quarta;Sexta","20:00","Entre 0 e 5 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/10 9:43:10 PM GMT-3","Sim","UFABC - Santo André","","","Segunda;Terça;Quarta;Quinta;Sexta","18:40","Entre 5 e 15 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento;Informações sobre estacionamentos próximos ao campus;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/10 9:55:56 PM GMT-3","Não","","","","","","","","","","",""
"2019/07/10 10:04:51 PM GMT-3","Sim","UFABC - Santo André","Quarta;Sexta","","","10:00","Entre 5 e 15 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/10 10:21:33 PM GMT-3","Sim","UFABC - Santo André","Terça","Terça","Terça","18:00","Entre 5 e 15 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento;Informações sobre estacionamentos próximos ao campus;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","É importante valorizar o bom trabalho dos funcionários que ficam na portaria da faculdade monitorando as vagas que restam. Mas acho bem legal a idéia até como uma forma de auxiliar e aperfeiçoar o trabalho deles.",""
"2019/07/10 10:29:57 PM GMT-3","Sim","UFABC - Santo André","Terça;Quinta","Terça;Quinta","","10:00","Entre 15 e 30 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Horários de pico de uso do estacionamento","",""
"2019/07/10 10:59:37 PM GMT-3","Não","","","","","","","","","","",""
"2019/07/10 11:07:38 PM GMT-3","Sim","UFABC - Santo André","","Terça;Quarta;Quinta","Terça;Sexta","14:00","Entre 30 min e 1 hora","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
